ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,e_pmRA,e_pmDEC,plx,e_plx,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,contratio,duplicate_id,gaiabp,e_gaiabp,gaiarp,e_gaiarp,e_RA,e_Dec,dstArcSec,moca_aid,moca_mtid,designation,age,eage,sep,n_sectors
250383070,29.7728471812339,-4.69905856405971,7.512,-12.3324,8.77298,STAR,tmgaia2,20190415,0.0855454,0.0815225,9.11616,0.0528066,9.24,0.03,8.306,0.03,8.12,0.067,8.071,0.031,6387.0,128.717,4.41462,0.0885678,nan,nan,1.16141,0.0512688,1.278,0.205593,0.815772,0.190363,DWARF,2.02235365,0.0857943,109.354,0.636,0.0106211,0.000219782916,,9.38405,0.002831,8.7334,0.002706,1.32778973979788,1.26414879925593,0.0,PERI,HM,HD 12143,120.0,0.0,6.416923932007822e-05,2.0
250586846,32.06711093911,48.4874063403164,25.5775,-18.7046,15.2531,STAR,tmgaia2,20190415,0.177648,0.146209,5.30095,0.0888907,nan,nan,13.572,0.026,12.889,0.027,12.609,0.021,3191.0,157.0,4.81847,0.00531673,nan,nan,0.408947,0.0132517,0.401544,0.0210975,5.87127,0.262337,DWARF,0.0156219769,0.004112292,187.709,3.157,0.0810648,0.09166749,,18.3302,0.013323,15.3465,0.005962,3.02059412987567,2.26733804566129,0.0,SAPER,HM,Gaia DR2 358044661529405056,79.0,1.9,0.00014081788580041005,1.0
250593544,94.7835728102795,-3.4389885489065,10.7064,-42.2986,7.314,STAR,tmgaia2,20190415,0.0836511,0.0848578,19.2262,0.0546742,7.95,0.03,6.848,0.021,6.591,0.02,6.552,0.02,6051.0,134.246,4.3567,0.082316,nan,nan,1.16741,0.0567764,1.13,0.149765,0.71025,0.156266,DWARF,1.64606988,0.05052015,51.935,0.1486,0.0,0.00341863744,,8.01298,0.007303,7.27656,0.006053,1.29783914956458,1.31618438987982,0.0,SIC2602,CM,V1358 Ori,52.5,2.95,0.00019386529641936056,2.0
250704825,33.0165350354045,53.0475194632363,28.3969,-19.8319,15.0993,STAR,tmgaia2,20190415,0.156726,0.148689,6.01487,0.0910183,17.83,0.2,13.437,0.025,12.816,0.026,12.523,0.02,3221.0,157.0,4.84249,0.00339288,nan,nan,0.382913,0.0122461,0.372069,0.020878,6.62709,0.263848,DWARF,0.0142186321,0.00370407617,165.525,2.5135,0.0777685,0.0940527841,,18.1081,0.015279,15.1878,0.003449,2.71595347641322,2.30588868248338,0.0,SAPER,HM,Gaia DR2 455268393101629440,79.0,1.9,0.0001538462587894021,1.0
250832135,34.271315092151,50.2414356561138,31.407,-23.002,10.4908,STAR,tmgaia2,20190415,0.0864387,0.075851,6.75082,0.0424192,11.153,0.01,9.848,0.022,9.513,0.021,9.446,0.018,5594.0,153.382,4.52487,0.0781502,nan,nan,0.899907,0.0443819,0.989,0.129754,1.35708,0.299078,DWARF,0.7144625,0.04185775,147.507,0.93,0.0229726,0.386026174,,11.3537,0.004152,10.4443,0.002894,1.48009888009684,1.17609743557007,0.0,SAPER,HM,Gaia DR2 355625667228299648,79.0,1.9,0.00017299684932359355,1.0
251005952,339.636850388538,-6.21367377638687,24.8491,-9.76719,9.9143,STAR,tmgaia2,20190415,0.0834404,0.078353,7.44433,0.0538916,10.522,0.007,9.402,0.026,9.094,0.03,9.001,0.026,5893.0,127.29,4.49649,0.0788918,nan,nan,0.967122,0.0465452,1.07,0.131676,1.18288,0.253163,DWARF,1.01625621,0.0369753,133.821,0.9725,0.0187451,0.145815313,,10.6772,0.002099,9.86847,0.002642,1.29595372656384,1.21522354063663,0.0,PERI,HM,BD-06 6037,120.0,0.0,0.00011873418216544768,1.0
251007934,37.5970095088819,53.5868327512926,25.3722,-20.1059,14.3545,STAR,tmgaia2,20190415,0.0976145,0.103731,5.45294,0.0570221,16.704,0.057,12.754,0.023,12.129,0.021,11.887,0.023,3393.0,157.0,4.72847,0.00902939,nan,nan,0.510226,0.0156767,0.50807,0.0206561,3.82504,0.197291,DWARF,0.031085318,0.00770598976,182.452,1.913,0.0980101,0.05543643,,16.9899,0.004715,14.4164,0.001925,1.69529851604268,1.60843778814088,0.0,SAPER,HM,Gaia DR2 452553355299049984,79.0,1.9,0.0001438290824020016,1.0
251064437,36.7220679972243,-5.29584323443205,3.92145,-10.2415,11.7492,STAR,tmgaia2,20190415,0.0781182,0.0719298,8.76289,0.0437167,12.951,0.034,10.853,0.028,10.133,0.022,10.001,0.021,4347.0,132.057,4.64053,0.103365,nan,nan,0.652687,0.0593969,0.679,0.0774328,2.44205,0.7791,DWARF,0.137044922,0.00888917,113.746,0.57,0.00907233,0.001532833,,13.1913,0.00814,11.6931,0.005429,1.21280251389086,1.11541657660728,0.0,PERI,HM,XLSS J022653.1-051744,120.0,0.0,4.8759679523262886e-05,1.0
251081955,37.3554980069212,-5.33633254412286,3.19908,-9.53547,11.8248,STAR,tmgaia2,20190415,0.0803806,0.0699063,9.03333,0.0391655,13.048,0.057,10.664,0.023,10.057,0.024,9.944,0.021,4222.0,127.287,4.61947,0.112387,nan,nan,0.659282,0.0621885,0.66,0.0806048,2.3032,0.764111,DWARF,0.124425583,0.00857349,110.35,0.4805,0.00952666,0.3276768,,13.3497,0.0095,11.767,0.00502,1.24776752082623,1.08399992210042,0.0,PERI,HM,UCAC2 29947670,120.0,0.0,4.473409819498728e-05,1.0
251088243,37.7451241982537,-3.05131014483913,2.48126,-13.4507,9.93177,STAR,tmgaia2,20190415,0.0627339,0.062613,9.6064,0.0353598,10.621,0.009,9.298,0.028,8.93,0.026,8.838,0.019,5490.0,131.669,4.57523,0.0840266,nan,nan,0.83754,0.0461005,0.962,0.128516,1.63742,0.381817,DWARF,0.5741095,0.01447655,103.786,0.3835,0.0098871,0.697522,,10.8139,0.001688,9.88619,0.001336,0.973223789144668,0.970879677798379,0.0,PERI,HM,BD-03 391,120.0,0.0,6.080920839366916e-05,1.0
