Target_ID,tpeak,amp,ed_s,rise,fall,prob,name,tot_time_obs
7.0,2065.9151778229225,1.006930094102764,4.548296700454111,0.0001,0.006968811854022176,0.9998102188110352,DS Tuc,126.26805555555556
7.0,2067.6790612958234,1.005718923670721,4.392691520719315,0.0001,0.007858767253076406,0.99725341796875,DS Tuc,126.26805555555556
7.0,2072.054037330586,1.0024919603263323,2.0382282297470673,0.0001,0.008497607886198346,0.9106991291046143,DS Tuc,126.26805555555556
7.0,2072.183203102195,1.0048591765711463,4.6050965752898305,0.0001,0.01,0.9993763566017151,DS Tuc,126.26805555555556
7.0,2082.3553084026667,1.0045179309868346,3.8279959732949242,0.0001,0.008808985299875392,0.9994528293609619,DS Tuc,126.26805555555556
7.0,2082.9400207813746,1.0026608999033202,1.384801755196045,0.0001,0.005003164725596491,0.8305254578590393,DS Tuc,126.26805555555556
7.0,2083.1664057940893,1.0035673759053059,3.4059310058248338,0.0001,0.01,0.9941611289978027,DS Tuc,126.26805555555556
9.0,2152.4692310815026,1.0326460404452247,13.442998730019331,0.0001,0.004075008760978682,1.0,TOI 451,70.38055555555556
8.0,2191.3148333919694,1.012752348801058,7.757334164208576,0.0001,0.006990546143431964,0.9999939203262329,TOI 942,24.968055555555555
1.0,2334.9796171428634,1.0156130378540653,15.730714540694015,0.0001,0.01,0.999441385269165,HIP 67522,77.13194444444446
1.0,2335.171283875277,1.0057765369039668,3.406272724701791,0.0001,0.006218602799444082,0.8555841445922852,HIP 67522,77.13194444444446
6.0,2412.6542550031836,1.0752569996622123,70.97994094729155,0.0001,0.01,1.0,KOI-7368,103.76944444444445
5.0,2416.2808829080805,1.0649996563336468,56.7843776572876,0.0001,0.01,1.0,KOI-7913,127.80555555555554
5.0,2423.5808720369128,1.0827350497868962,61.04262030987813,0.0001,0.00833098996899606,1.0,KOI-7913,127.80555555555554
5.0,2431.1975010086758,1.0426974795232953,36.447597698052185,0.0001,0.01,0.999999463558197,KOI-7913,127.80555555555554
5.0,2444.7473297958536,1.1337257846003546,64.82341243403313,0.0001,0.00503130859908061,1.0,KOI-7913,127.80555555555554
3.0,2492.318250095586,1.0099620944062855,6.416184229571525,0.0001,0.007205562662174575,0.999996542930603,V1298 Tau,46.356944444444444
6.0,2801.5736607797803,1.0174296246070842,17.042488695684934,0.0001,0.01,0.9996030330657959,KOI-7368,103.76944444444445
6.0,2819.9457478484474,1.0121620253732582,3.3482510877593987,0.0001,0.0025164850526933785,0.9718711376190186,KOI-7368,103.76944444444445
1.0,3042.577490475467,1.00303931631031,1.210793885454622,0.0001,0.003947808952784115,0.7368595600128174,HIP 67522,77.13194444444446
1.0,3042.7580520269626,1.0045098347739263,2.372282898638409,0.0001,0.00531747386578494,0.9862736463546753,HIP 67522,77.13194444444446
