Target_ID,Prot,e_Prot,Good,EB?,flare_rate,age,Teff,Bp-Rp,mass,e_mass,Kmag,e_Kmag,Vmag,e_Vmag
427735688,14.5879101404721,3.48810319526162,0.0,,0.06018495101443354,127.4,3186.0,2.994200000000001,0.259667,0.0209098,12.931,0.026,18.8,0.2
428328243,13.4347410776988,0.365720119850279,0.0,,0.2223182856789971,79.0,3369.0,2.619600000000002,0.532839,0.0206138,11.6,0.023,16.696,1.133
431892128,13.4078033139364,0.706874142024706,0.0,,0.1278380926431237,79.0,3357.0,2.6441,0.567776,0.0204363,11.139,0.021,16.12,0.149
431896789,7.14899252991438,1.69757107394694,0.0,,0.1744359887946485,79.0,3201.0,2.961000000000002,0.465901,0.0214849,12.376,0.025,nan,nan
431988853,15.6097775921719,3.86606827217351,0.0,,0.04380094902056211,79.0,3433.0,2.4982000000000024,0.548451,0.0205788,11.647,0.022,16.35,0.092
440681791,1.71564989045556,0.364966760798146,0.0,,0.06984038655516546,127.4,3309.0,2.7386,0.380531,0.0207772,12.287,0.023,17.27,0.2
440681652,1.68696176481989,0.251398418584312,0.0,,0.17834494427218756,127.4,3258.0,2.842500000000001,0.382636,0.0207862,12.083,0.023,17.35,0.2
440681587,1.25189513026533,0.00782559686614622,0.0,,0.07594027812550143,127.4,3233.0,2.894300000000001,0.310946,0.020966,12.563,0.026,nan,nan
440681564,4.45791804519379,1.18426061744361,0.0,,0.09716261252881903,127.4,3142.0,3.086999999999998,0.276831,0.0208511,12.734,0.028,18.17,0.2
440681539,11.9318611376173,0.121484011915705,0.0,,0.029308807968125888,127.4,3173.0,3.020599999999998,0.243336,0.0210962,13.093,0.031,18.37,0.2
440681536,1.97062398608594,0.120950368918789,0.0,,0.045312601328971434,127.4,3191.0,2.9823999999999984,0.314457,0.0208944,12.546,0.025,17.98,0.2
440681529,0.557303074803739,0.00188069072701826,0.0,,0.08119506759793262,127.4,3312.0,2.7327999999999992,0.409449,0.0206834,11.922,0.018,16.83,0.2
